Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.9957		2.9957		0.0000		0.0002		0.00050000
2		2.9957		2.9957		0.0000		0.0002		0.00049711
3		2.9957		2.9957		0.0000		0.0002		0.00049423
4		2.9957		2.9957		0.0000		0.0002		0.00049134
5		2.9957		2.9957		0.0000		0.0001		0.00048845
6		2.9957		2.9957		0.0000		0.0001		0.00048555
7		2.9957		2.9957		0.0000		0.0001		0.00048266
1		2.9957		2.9957		0.0000		0.0002		0.00050000
2		2.9957		2.9957		0.0000		0.0008		0.00049700
3		2.9957		2.9957		0.0000		0.0000		0.00049400
4		2.9957		2.9957		0.0000		0.0000		0.00049099
5		2.9957		2.9957		0.0000		0.0000		0.00048798
6		2.9957		2.9957		0.0000		0.0000		0.00048497
7		2.9957		2.9957		0.0000		0.0000		0.00048196
8		2.9957		2.9957		0.0000		0.0000		0.00047895
9		2.9957		2.9957		0.0000		0.0000		0.00047593
10		2.9957		2.9957		0.0000		0.0000		0.00047292
11		2.9957		2.9957		0.0000		0.0000		0.00046990
13		2.9957		2.9957		0.0000		0.0000		0.00046385
14		2.9957		2.9957		0.0000		0.0000		0.00046083
15		2.9957		2.9957		0.0000		0.0000		0.00045780
16		2.9957		2.9957		0.0000		0.0000		0.00045477
17		2.9957		2.9957		0.0000		0.0000		0.00045173
18		2.9957		2.9957		0.0000		0.0000		0.00044870
19		2.9957		2.9957		0.0000		0.0000		0.00044566
20		2.9957		2.9957		0.0000		0.0000		0.00044262
21		2.9957		2.9957		0.0000		0.0000		0.00043958
22		2.9957		2.9957		0.0000		0.0000		0.00043653
23		2.9957		2.9957		0.0000		0.0000		0.00043349
24		2.9957		2.9957		0.0000		0.0000		0.00043044
25		2.9957		2.9957		0.0000		0.0000		0.00042739
26		2.9957		2.9957		0.0000		0.0000		0.00042433
27		2.9957		2.9957		0.0000		0.0000		0.00042128
28		2.9957		2.9957		0.0000		0.0000		0.00041822
29		2.9957		2.9957		0.0000		0.0000		0.00041516
30		2.9957		2.9957		0.0000		0.0000		0.00041209
31		2.9957		2.9957		0.0000		0.0000		0.00040903
32		2.9957		2.9957		0.0000		0.0000		0.00040596
33		2.9957		2.9957		0.0000		0.0000		0.00040289
35		2.9957		2.9957		0.0000		0.0000		0.00039673
36		2.9957		2.9957		0.0000		0.0000		0.00039366
37		2.9957		2.9957		0.0000		0.0000		0.00039057
38		2.9957		2.9957		0.0000		0.0000		0.00038749
39		2.9957		2.9957		0.0000		0.0000		0.00038440
